,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
View Zerodha's guide on using tax reports for filing.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Client ID,DV1182,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
P&L Statement for F&O from 2025-04-01 to 2026-03-31,,,,,,,,,,,,
,,,,,,,,,,,,
Summary,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,16206.3829,,,,,,,,,,,
Other Credit & Debit,0,,,,,,,,,,,
Realized P&L,201659,,,,,,,,,,,
Unrealized P&L,-4256.25,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,,,,,,,,,,,,
,,,,,,,,,,,,
Account Head,Amount,,,,,,,,,,,
Brokerage - Z,11920,,,,,,,,,,,
INFY25SEP1520CE,,400,9160,2960,-6200,-67.6856,0,0,,0,0,0
INFY25SEP1540CE,,400,2200,4220,2020,91.8182,0,0,,0,0,0
INFY25SEP1580CE,,400,3220,3720,500,15.528,0,0,,0,0,0
INFY25SEP1600CE,,400,2640,4240,1600,60.6061,0,0,,0,0,0
INFY26FEB1600CE,,400,920,4040,3120,339.1304,0,0,,0,0,0
INFY26FEB1640CE,,400,2200,3900,1700,77.2727,0,0,,0,0,0
INFY26FEB1680CE,,400,6000,10000,4000,66.6667,0,0,,0,0,0
INFY26FEB1740CE,,400,980,5220,4240,432.6531,0,0,,0,0,0
INFY26JAN1660CE,,400,5600,8040,2440,43.5714,0,0,,0,0,0
INFY26JAN1700CE,,400,7400,8080,680,9.1892,0,0,,0,0,0
INFY26JAN1740CE,,400,6960,7500,540,7.7586,0,0,,0,0,0
NIFTY2590224950CE,,75,247.5,551.25,303.75,122.7273,0,0,,0,0,0
NIFTY25D0225600PE,,75,1263.75,1912.5,648.75,51.3353,0,0,,0,0,0
NIFTY25D0225650PE,,75,1436.25,1875,438.75,30.5483,0,0,,0,0,0
NIFTY25D0225700PE,,75,885,1935,1050,118.6441,0,0,,0,0,0
NIFTY25D0225750PE,,75,1087.5,2197.5,1110,102.069,0,0,,0,0,0
NIFTY25D0225900PE,,75,1616.25,1957.5,341.25,21.1137,0,0,,0,0,0
NIFTY25D0225950PE,,150,1312.5,3131.25,1818.75,138.5714,0,0,,0,0,0
NIFTY25D0226000PE,,150,2152.5,3660,1507.5,70.0348,0,0,,0,0,0
NIFTY25D0226050PE,,150,2238.75,3393.75,1155,51.5913,0,0,,0,0,0
